koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CANDIDATE,5.59728249,1407.3,1.795,0.034955,30.8
CANDIDATE,23.3397956,125.1,1.923,0.010418,4.5
CANDIDATE,51.3901452,494.0,5.995,0.025685,15.4
CANDIDATE,186.4361811,4347.0,5.774,0.075675,66.5
CANDIDATE,35.6364022,452.6,4.888,0.020525,15.7
CANDIDATE,8.98128472,4924.0,5.0397,0.064401,76.6
CANDIDATE,192.667139,1148.3,5.443,0.037986,26.0
CANDIDATE,52.971584,3882.6,3.4632,0.336767,51.4
CANDIDATE,5.91393977,84.0,0.562,0.00867,2.8
CANDIDATE,14.62399621,1082.0,2.193,0.246245,25.0
CANDIDATE,9.771462706,6933.2,1.767,0.108981,215.0
CANDIDATE,281.5628889,21012.0,8.853,0.127752,237.1
CANDIDATE,8.51170088,23791.335898271922,2.9,0.28364628616454735,259.8950005434192
CANDIDATE,6.93910337,614.7,2.977,0.030804,22.9
CANDIDATE,10.19154678,61.3,6.165,0.007567,27.6
CANDIDATE,12.89006728,602.5,3.555,0.021714,23.6
CANDIDATE,23.210509958,28737.0,3.09802,0.239908,958.7
CANDIDATE,4.74666128,256.8,2.093,0.014655,12.5
CANDIDATE,23.02028478,5077.8,3.544,0.072584,97.2
CANDIDATE,0.708621057,187.5,1.5041,0.012345,30.5
CANDIDATE,169.4976085,12192.0,7.77,0.105415,82.8
CANDIDATE,0.917568975,15805.0,2.0654,0.122207,128.1
CANDIDATE,7.79668781,361.3,4.6699,0.017502,48.5
CANDIDATE,7.00447892,231.4,2.669,0.013481,9.9
CANDIDATE,30.69395532,18121.0,2.9512,0.123454,196.6
CANDIDATE,29.481061268,11871.0,3.6636,0.168781,332.0
CANDIDATE,32.7737631,564.5,3.416,0.029843,21.7
CANDIDATE,77.63424586,16612.0,4.1002,0.113974,185.5
CANDIDATE,32.85862571,162.8,3.1483,0.014989,36.4
CANDIDATE,2.229326354,49.1,1.9946,0.006393,24.6
CANDIDATE,8.56267266,608.1,1.53,0.022272,15.2
CANDIDATE,17.79108667,414.2,2.662,0.019651,39.8
CANDIDATE,63.0732241,671.3,5.397,0.025655,30.0
CANDIDATE,8.710442022,1196.4,0.9425,0.040896,42.6
CANDIDATE,6.35585682,176.6,1.55,0.015018,9.2
CANDIDATE,4.22464216,987.0,1.403,0.03465,7.7
CANDIDATE,46.2991052,854.9,5.2481,0.026296,55.0
CANDIDATE,15.09521323,23791.335898271922,3.41,0.28364628616454735,259.8950005434192
CANDIDATE,6.31219171,403.7,4.9377,0.018482,35.6
CANDIDATE,86.049055,429.9,29.28,0.018911,8.0
CANDIDATE,5.007414194,4413.9,1.3584,0.07733,196.6
CANDIDATE,17.50441726,725.4,4.2585,0.024535,47.5
CANDIDATE,86.7490807,547.1,9.179,0.021098,35.7
CANDIDATE,3.261759866,3876.1,1.7593,0.077582,190.4
CANDIDATE,20.92735802,8091.0,3.4256,0.143383,263.5
CANDIDATE,30.5231459,2212.3,2.7286,0.130484,38.7
CANDIDATE,28.78270955,864.5,3.451,0.025875,40.1
CANDIDATE,4.539297295,798.1,1.9455,0.029574,50.3
CANDIDATE,6.73679732,23791.335898271922,2.36,0.28364628616454735,259.8950005434192
CANDIDATE,124.03589939,7690.0,4.8472,0.079644,190.1
CANDIDATE,17.1181036,167.7,1.29,0.012008,6.1
CANDIDATE,8.29482811,559.5,2.7437,0.026936,38.1
CANDIDATE,10.240611361,2958.0,0.9617,0.055757,72.0
CANDIDATE,23.11707222,2407.5,3.9948,0.050285,61.2
CANDIDATE,4.77502117,451.4,1.7087,0.019883,16.7
CANDIDATE,5.69590202,4921.1,3.5661,0.064358,391.2
CANDIDATE,2.64622742,155.5,1.407,0.011576,8.4
CANDIDATE,65.18703725,23791.335898271922,5.44,0.28364628616454735,259.8950005434192
CANDIDATE,6.69332825,781.8,2.311,0.035078,23.4
CANDIDATE,29.0726293,439.6,2.516,0.020385,20.9
CANDIDATE,6.6254781,122.0,2.358,0.009946,2.7
CANDIDATE,1.34145255,26.6,7.502,0.005021,31.2
CANDIDATE,14.97974335,1211.8,4.126,0.040734,33.2
CANDIDATE,6.7445683,86.6,3.813,0.008556,6.8
CANDIDATE,33.35859852,1825.9,2.286,0.050925,32.2
CANDIDATE,6.3143447,191.4,2.796,0.012685,6.4
CANDIDATE,78.7327023,495.8,5.041,0.025724,19.1
CANDIDATE,42.3375799,354.8,4.924,0.022832,18.1
CANDIDATE,1.834277283,286.5,1.7499,0.015647,24.8
CANDIDATE,1.151244686,269.6,1.272,0.400856,32.6
CANDIDATE,2.42088277,223.3,2.812,0.013564,20.7
CANDIDATE,38.103908,961.1,3.837,0.048466,20.3
CANDIDATE,5.24242029,334.9,6.413,0.019344,20.1
CANDIDATE,37.8034121,678.1,4.641,0.033027,20.2
CANDIDATE,131.485184,557.8,5.294,0.022374,19.4
CANDIDATE,16.2908527,44.1,3.176,0.006003,14.5
CANDIDATE,147.281212,452.8,7.375,0.0198,17.3
CANDIDATE,16.6671415,175.0,3.526,0.012198,17.9
CANDIDATE,34.135676,622.0,9.12,0.023039,8.6
CANDIDATE,86.130534,285.2,3.321,0.015395,3.7
CANDIDATE,8.46354384,792.2,1.4078,0.025894,26.1
CANDIDATE,191.86419296,23791.335898271922,4.9,0.28364628616454735,259.8950005434192
CANDIDATE,13.72549689,23791.335898271922,7.62,0.28364628616454735,259.8950005434192
CANDIDATE,176.331289,109.8,13.89,0.009675,8.4
CANDIDATE,6.2141496,183.4,10.141,0.0124,53.4
CANDIDATE,17.65737838,2155.7,3.509,0.047823,117.2
CANDIDATE,7.5966998,127.5,3.667,0.011117,24.5
CANDIDATE,15.40877383,23791.335898271922,3.49,0.28364628616454735,259.8950005434192
CANDIDATE,58.35512552,23791.335898271922,8.45,0.28364628616454735,259.8950005434192
CANDIDATE,1.204686597,233.2,0.823,0.014218,10.8
CANDIDATE,6.78341325,501.2,3.5437,0.021665,35.3
CANDIDATE,6.95787,182.3,4.537,0.012454,1.8
CANDIDATE,9.4907638,197.4,2.713,0.012848,7.3
CANDIDATE,0.76196247,190.2,1.282,0.012566,18.3
CANDIDATE,2.19251903,18.1,1.845,0.004065,6.6
CANDIDATE,39.7557642,621.8,1.958,0.245914,10.2
CANDIDATE,10.27127527,343.5,3.029,0.016888,17.5
CANDIDATE,4.267961416,127.4,1.3427,0.010492,24.6
CANDIDATE,18.1209388,504.2,3.781,0.019889,15.8
CANDIDATE,3.98864999,94.2,3.516,0.008903,12.4
CANDIDATE,25.1123362,398.8,7.922,0.018288,11.8
CANDIDATE,2.121023807,263.9,0.3673,0.047334,6.4
CANDIDATE,33.18089453,23791.335898271922,15.24,0.28364628616454735,259.8950005434192
CANDIDATE,3.55557922,60.4,3.24,0.007131,15.5
CANDIDATE,8.28157072,139.2,3.1,0.010655,12.9
CANDIDATE,0.82628442,134.9,0.9603,0.010598,25.6
CANDIDATE,6.37705295,502.8,1.949,0.02038,17.9
CANDIDATE,2.27050106,106.7,1.903,0.009599,15.9
CANDIDATE,18.55581565,565.9,5.372,0.021575,33.2
CANDIDATE,13.33094869,725.6,1.426,0.228694,17.1
CANDIDATE,21.47642727,348130.0,5.5498,0.544874,124.8
CANDIDATE,7.10397925,370.5,1.5398,0.017508,16.8
CANDIDATE,6.77367892,150.7,3.579,0.011355,15.1
CANDIDATE,5.22402436,48.1,2.608,0.006272,15.1
CANDIDATE,15.92108138,716.8,1.5443,0.035087,16.1
CANDIDATE,2.81043228,47.4,3.874,0.00628,17.8
CANDIDATE,175.603366,506.8,9.543,0.026036,14.7
CANDIDATE,64.034363,758.8,9.174,0.040604,16.9
CANDIDATE,4.790912471,360.7,0.5134,0.030503,17.6
CANDIDATE,47.3659328,757.0,7.929,0.121506,16.0
CANDIDATE,29.2254372,174.1,5.293,0.012233,15.7
CANDIDATE,13.9034057,261.4,3.408,0.017373,15.3
CANDIDATE,53.3580444,736.1,6.812,0.030108,19.7
CANDIDATE,73.711039,136.7,10.062,0.010817,21.1
CANDIDATE,14.43348326,526.8,2.663,0.211933,14.8
CANDIDATE,6.35705314,272.2,1.324,0.015121,17.3
CANDIDATE,1.530515205,659.7,0.5945,0.029563,23.2
CANDIDATE,17.6997392,752.7,2.76,0.024246,19.8
CANDIDATE,0.754457729,248.2,0.5891,0.01586,31.1
CANDIDATE,62.6825769,398.9,2.327,0.117521,17.8
CANDIDATE,16.2707207,468.0,5.707,0.209216,13.0
CANDIDATE,5.42204257,79.1,2.952,0.010112,10.7
CANDIDATE,24.1073172,104.2,10.465,0.009958,23.6
CANDIDATE,51.5738653,900.7,2.784,0.0272,13.2
CANDIDATE,0.827151296,272.4,1.385,0.014702,8.1
CANDIDATE,11.6191707,700.4,1.819,0.024284,18.5
CANDIDATE,38.2292037,605.8,3.893,0.023157,21.0
CANDIDATE,176.845697,431.6,3.812,0.483193,7.7
CANDIDATE,18.0243482,441.2,3.575,0.019931,17.3
CANDIDATE,16.4793229,479.1,3.312,0.019585,13.8
CANDIDATE,2.10081629,169.1,2.8182,0.016455,15.3
CANDIDATE,3.67936863,85.9,3.47,0.009964,18.1
CANDIDATE,7.4464635,78.0,4.084,0.008309,12.7
CANDIDATE,2.252976718,467.9,1.7131,0.019552,21.7
CANDIDATE,16.6146221,361.2,2.706,0.017048,10.6
CANDIDATE,5.83892993,237.4,1.1066,0.014115,15.3
CANDIDATE,3.09756897,83.3,4.588,0.008516,14.6
CANDIDATE,205.385912,1248.7,8.681,0.030926,24.3
CANDIDATE,1.23935745,150.9,1.683,0.014238,9.7
CANDIDATE,1.407020118,181.9,1.3766,0.012061,18.9
CANDIDATE,24.4359956,496.6,6.254,0.020437,17.1
CANDIDATE,17.57704569,670.0,2.022,0.27658,19.1
CANDIDATE,1.400755743,144.4,1.0562,0.011144,19.8
CANDIDATE,1.28132831,525.5,0.9157,0.025924,196.4
CANDIDATE,119.0833042,2951.0,2.558,0.326228,18.9
CANDIDATE,27.8813154,209.2,6.346,0.013372,15.5
CANDIDATE,7.50790041,145.0,5.646,0.012157,11.9
CANDIDATE,110.3783828,489.8,12.211,0.020351,108.9
CANDIDATE,4.28886792,59.3,2.599,0.007254,11.1
CANDIDATE,24.5752524,1003.4,2.258,0.029364,12.1
CANDIDATE,10.1747037,52.4,5.179,0.007125,11.8
CANDIDATE,2.17291055,76.4,2.139,0.008116,13.6
CANDIDATE,7.35101287,115.9,2.757,0.010277,12.8
CANDIDATE,6.57159435,65.7,3.1044,0.008051,30.7
CANDIDATE,0.868122253,231.3,1.5471,0.013923,23.2
CANDIDATE,13.84301228,567.8,4.077,0.02167,17.5
CANDIDATE,5.1952021,320.8,2.1552,0.016999,17.7
CANDIDATE,31.6084371,331.6,3.675,0.016769,16.2
CANDIDATE,16.1558656,731.3,3.798,0.035167,17.5
CANDIDATE,3.375716723,175.7,1.5436,0.016741,20.2
