koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
FALSE POSITIVE,2.99025443,589.2,5.414,0.021279,48.5
CONFIRMED,1.594745374,15044.0,1.9604,0.115879,1009.3
CONFIRMED,4.783002698,1008.7,2.335,0.028315,70.6
CONFIRMED,20.50588921,2105.5,4.0595,0.041039,78.5
CONFIRMED,3.340218842,1632.6,1.9104,0.037683,71.6
FALSE POSITIVE,2.507089906,1339.2,2.0067,0.295115,64.9
CONFIRMED,18.64932728,893.6,4.4056,0.027096,46.1
CONFIRMED,4.90144976,140.7,4.1654,0.011136,50.6
CONFIRMED,9.75192101,418.0,4.793,0.024042,28.5
CONFIRMED,38.5576546,993.0,5.794,0.03498,39.7
CONFIRMED,3.525632539,22335.0,2.59959,0.13372,1996.7
CONFIRMED,7.748094239,2472.1,3.5957,0.046615,113.2
CONFIRMED,23.96793669,1182.3,3.827,0.03141,27.5
CONFIRMED,8.29561738,824.3,1.3421,0.03178,17.9
CONFIRMED,8.11437482,1558.0,2.2736,0.037204,56.4
FALSE POSITIVE,38.036729482,82872.0,4.34617,0.27018,1300.0
FALSE POSITIVE,3.747838198,616.0,5.0642,0.151387,138.2
CONFIRMED,14.74914825,430.2,6.0995,0.018864,107.4
CONFIRMED,21.81295996,1175.4,4.3791,0.030952,37.8
FALSE POSITIVE,7.91936937,15148.0,3.3148,0.121984,389.0
CONFIRMED,15.37562369,15337.0,3.3169,0.12103,166.0
CONFIRMED,8.10363271,887.9,3.161,0.026361,39.3
CONFIRMED,4.71510843,417.5,2.506,0.018268,21.3
CONFIRMED,6.365839713,780.7,2.9721,0.026275,70.8
FALSE POSITIVE,5.97581754,962.4,3.065,0.035468,50.3
FALSE POSITIVE,2.446737317,1177.9,4.7211,0.278526,110.2
CONFIRMED,3.04033046,10859.0,1.8411,0.104023,568.2
CONFIRMED,15.33528675,3081.4,3.897,0.056,86.6
CONFIRMED,7.95825328,50.0,4.377,0.006915,14.7
CONFIRMED,31.33046135,5073.8,5.176,0.072904,117.2
FALSE POSITIVE,3.9043425,16228.0,3.831,0.125229,323.4
FALSE POSITIVE,9.286358079,44791.0,3.49949,0.19639,1671.1
FALSE POSITIVE,3.951405455,2453.9,2.1862,0.331342,117.2
CONFIRMED,23.65369415,3341.8,8.2183,0.05219,266.3
CONFIRMED,13.23352214,504.6,6.7372,0.020278,49.1
CONFIRMED,6.15560285,285.0,4.9843,0.015336,35.1
CONFIRMED,2.090811305,115.9,3.388,0.010686,19.9
CONFIRMED,3.180027898,120.3,3.5797,0.009989,50.4
CONFIRMED,50.4467417,370.3,7.159,0.01767,19.4
CONFIRMED,11.76307164,1037.3,2.9076,0.028519,48.9
CONFIRMED,56.2279271,862.7,3.57,0.028683,20.9
FALSE POSITIVE,2.384052875,1268.1,3.0918,0.222925,50.5
CONFIRMED,7.953547,875.4,2.6312,0.026448,38.4
CONFIRMED,4.14451656,391.8,2.3421,0.017441,22.8
FALSE POSITIVE,4.859386384,6044.3,2.2757,0.355227,269.7
CONFIRMED,10.526294577,9768.0,2.5211,0.095143,482.3
CONFIRMED,4.583520948,3812.1,2.7055,0.056287,99.5
CONFIRMED,3.76181843,510.6,3.5176,0.025656,35.9
CONFIRMED,8.20396958,1024.4,2.9667,0.033372,54.4
CONFIRMED,14.49645186,647.5,4.016,0.033377,25.7
CONFIRMED,6.54626149,655.9,2.75,0.024555,24.8
CONFIRMED,12.71809866,1149.4,3.0957,0.030871,52.7
CONFIRMED,36.06588163,1563.8,4.3246,0.035281,51.7
CONFIRMED,4.190425659,2877.4,2.8589,0.050076,240.6
CONFIRMED,3.709870784,2020.3,3.0694,0.040686,116.1
CONFIRMED,16.3297527,1187.5,6.271,0.034822,74.6
CONFIRMED,27.807566216,25391.0,4.21587,0.161479,748.1
CONFIRMED,80.8723469,3604.6,11.195,0.056129,160.9
FALSE POSITIVE,3.166465862,4357.2,2.9381,0.348902,122.1
CONFIRMED,24.99324319,269.6,5.9409,0.015956,62.0
CONFIRMED,10.35533116,750.6,3.1775,0.024674,49.2
CONFIRMED,16.08518937,1442.4,3.984,0.040767,62.6
CONFIRMED,7.49018305,1123.6,2.7297,0.029843,53.0
CONFIRMED,36.2761238,1572.6,4.7865,0.035273,45.5
