koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CONFIRMED,2.7073064,69.5,3.4378,0.007624,31.7
CONFIRMED,66.4159789,2053.2,7.061,0.041515,33.6
CONFIRMED,8.0103929,294.1,4.2713,0.015473,34.6
CONFIRMED,27.6666375,324.0,6.315,0.016826,24.4
CONFIRMED,5.19559398,116.0,3.748,0.009719,16.0
CONFIRMED,57.2488518,1455.6,6.083,0.034581,29.8
CONFIRMED,37.0551726,1028.8,5.439,0.034562,23.2
CONFIRMED,16.33269981,300.4,2.174,0.019073,17.5
CONFIRMED,10.05550267,147.7,2.951,0.010883,13.6
CONFIRMED,9.30413878,637.3,1.9254,0.023226,24.2
CONFIRMED,4.33722007,358.5,2.4973,0.017003,47.9
CONFIRMED,1.653889476,124.4,1.7242,0.010095,22.3
CONFIRMED,150.8783198,659.9,8.6797,0.02302,70.6
CONFIRMED,3.553831111,191.8,3.1029,0.013709,77.4
CONFIRMED,1.6783263,146.3,2.5123,0.01326,76.1
CONFIRMED,5.65378163,366.8,1.9483,0.017893,37.8
CONFIRMED,5.99185827,186.3,1.7215,0.014875,32.1
CONFIRMED,120.0183551,886.0,11.637,0.028322,46.1
CONFIRMED,14.30517579,863.4,4.535,0.033025,37.5
CONFIRMED,9.18189122,363.6,4.343,0.023538,18.2
CONFIRMED,2.935362067,1052.6,1.5043,0.035096,38.0
CONFIRMED,13.53953595,134.2,4.389,0.010628,21.8
CONFIRMED,22.7082375,298.8,3.503,0.015865,22.0
CONFIRMED,7.97033985,490.8,2.6675,0.020226,23.5
FALSE POSITIVE,5.33459393,226.3,2.642,0.01362,14.7
CONFIRMED,8.49640437,834.0,2.2128,0.027616,21.8
CONFIRMED,66.1843646,560.5,5.155,0.025433,21.3
CONFIRMED,2.032318856,287.5,1.1596,0.015039,20.4
CONFIRMED,3.62275506,180.6,2.7868,0.012192,22.3
CONFIRMED,2.892216772,360.5,1.3596,0.019577,23.9
CONFIRMED,187.746606,1583.0,5.885,0.035869,20.2
CONFIRMED,2.543063763,152.0,2.8473,0.011173,26.5
CONFIRMED,3.177414601,1134.3,1.5262,0.034227,113.7
CONFIRMED,2.168451063,466.9,1.458,0.019923,45.5
CONFIRMED,37.8154157,286.4,4.662,0.015706,22.4
CONFIRMED,53.5783052,224.9,5.194,0.015126,15.4
CONFIRMED,33.1362861,825.2,4.163,0.029482,16.3
CONFIRMED,7.72513619,382.2,2.042,0.024589,10.5
CONFIRMED,10.71253475,1198.6,2.7186,0.034061,31.2
CONFIRMED,32.5635249,578.3,5.418,0.021865,24.1
CONFIRMED,12.19140405,665.8,1.8832,0.023339,19.4
CONFIRMED,6.11784972,60.5,3.458,0.007241,25.8
CONFIRMED,3.97599629,206.0,2.2029,0.013018,27.3
CONFIRMED,7.68478504,274.1,2.447,0.014831,21.4
FALSE POSITIVE,0.990516282,101.6,2.019,0.013418,20.4
CONFIRMED,15.0447098,97.9,5.823,0.009046,23.4
CONFIRMED,1.118547814,234.8,1.5534,0.013601,21.7
CONFIRMED,6.42199919,161.6,2.6192,0.011701,25.4
CONFIRMED,9.75374033,430.8,2.348,0.019066,18.9
CONFIRMED,81.3153052,715.5,5.807,0.023917,20.7
CONFIRMED,51.3283527,692.3,9.357,0.025029,34.7
CONFIRMED,19.7919389,383.7,3.787,0.022714,22.8
CONFIRMED,26.8475962,254.1,10.068,0.01474,39.2
CONFIRMED,62.8917493,791.0,6.831,0.02681,22.6
CONFIRMED,14.87149773,944.9,2.4076,0.027799,27.3
CONFIRMED,2.732767897,613.1,1.1102,0.024752,27.0
FALSE POSITIVE,119.8401019,5448.7,3.6796,0.365731,83.7
CONFIRMED,9.61375316,797.9,4.654,0.026947,108.6
CONFIRMED,29.9685917,309.5,6.678,0.016258,26.5
CONFIRMED,33.2407985,341.9,4.675,0.01668,20.4
FALSE POSITIVE,2.97600846,103.2,4.274,0.009965,25.9
CONFIRMED,15.18727049,292.5,4.509,0.017654,21.4
CONFIRMED,28.6853212,689.1,6.307,0.029427,23.8
CONFIRMED,0.588001053,297.4,1.1451,0.015848,50.9
CONFIRMED,85.7357202,747.7,7.625,0.025021,20.8
CONFIRMED,1.078389713,300.5,1.3394,0.018374,23.6
CONFIRMED,5.03728033,76.3,2.0619,0.010281,20.9
CONFIRMED,3.289726319,234.9,2.3274,0.013779,27.0
CONFIRMED,7.18644594,402.0,1.4972,0.02206,23.8
CONFIRMED,15.94248453,1093.7,3.4894,0.029718,34.3
CONFIRMED,41.0081117,1004.5,4.376,0.034114,43.9
CONFIRMED,11.55562042,441.5,1.6758,0.022688,22.7
CONFIRMED,12.2885046,342.1,2.807,0.017657,12.0
CONFIRMED,17.13263125,850.2,3.0555,0.026597,26.4
CONFIRMED,19.0231361,401.6,3.431,0.019553,19.7
CONFIRMED,4.57948235,207.1,3.106,0.012971,20.0
CONFIRMED,1.003931703,491.1,1.4361,0.019769,25.2
FALSE POSITIVE,0.614083885,389.5,0.9817,0.01832,36.4
CONFIRMED,55.8224775,879.6,5.457,0.026492,23.7
CONFIRMED,6.11010439,59.7,2.314,0.007118,11.8
CONFIRMED,4.286866229,1321.9,4.4726,0.036172,167.3
CONFIRMED,10.27380957,352.8,3.252,0.017115,19.2
CONFIRMED,13.39155154,48.9,3.391,0.006628,24.5
CONFIRMED,5.62904396,39.5,3.7295,0.005805,32.2
CONFIRMED,8.2562857,37.3,2.0378,0.006235,18.2
CONFIRMED,12.33087921,872.2,3.0664,0.026543,28.3
CONFIRMED,4.421566535,684.0,2.1229,0.028726,31.9
CONFIRMED,15.72585941,1313.1,3.8284,0.032661,32.7
CONFIRMED,1.252753881,200.0,2.1472,0.013107,40.5
CONFIRMED,13.36019864,699.9,2.788,0.024481,21.3
CONFIRMED,76.957056,367.1,9.551,0.018409,26.5
CONFIRMED,8.84784273,460.2,2.0572,0.019043,21.1
CONFIRMED,9.98970266,988.4,3.7,0.028075,24.1
CONFIRMED,5.63252508,634.4,2.1448,0.023204,70.9
CONFIRMED,1.442592305,166.0,2.9698,0.011979,27.1
CONFIRMED,14.17222858,246.8,2.6297,0.01667,24.5
CONFIRMED,4.92031063,81.0,4.046,0.00824,17.7
CONFIRMED,56.4931698,411.9,8.704,0.019847,31.8
CONFIRMED,13.82142084,765.2,3.985,0.030937,75.3
FALSE POSITIVE,2.30367952,136.4,3.0898,0.01379,18.9
CONFIRMED,5.78387049,413.3,1.3966,0.018724,20.7
CONFIRMED,11.08507658,771.8,1.751,0.028916,17.7
CONFIRMED,0.571038347,242.1,1.1267,0.017056,38.2
CONFIRMED,8.77425786,239.6,2.2245,0.017677,22.3
CONFIRMED,4.51005082,294.8,2.1533,0.01542,21.5
CONFIRMED,37.6468519,427.4,6.344,0.018542,31.0
CONFIRMED,29.4557841,533.8,3.451,0.021147,26.6
CONFIRMED,12.466004437,2232.1,5.0066,0.043414,304.6
CONFIRMED,2.361724472,587.0,1.2167,0.021561,34.6
CONFIRMED,34.7630543,293.7,4.309,0.016908,24.0
CONFIRMED,20.0545282,305.4,7.173,0.019945,26.9
CONFIRMED,3.17059731,325.4,1.6686,0.018398,20.1
CONFIRMED,27.0142622,287.6,5.385,0.015459,25.5
CONFIRMED,12.50945798,155.3,3.479,0.011945,16.0
CONFIRMED,26.0203329,1164.4,4.965,0.033353,23.7
CONFIRMED,0.769854899,109.6,1.0243,0.010351,28.7
CONFIRMED,6.89226333,214.4,2.4921,0.01332,22.4
CONFIRMED,8.07127043,318.2,2.393,0.016427,16.9
CONFIRMED,11.01819178,545.7,4.635,0.024936,22.0
CONFIRMED,30.9505927,301.4,5.394,0.021282,23.2
FALSE POSITIVE,3.979867514,907.6,2.3607,0.249402,65.2
CONFIRMED,23.3593589,570.1,5.389,0.027068,25.9
CONFIRMED,9.69310837,1130.7,2.734,0.031409,30.4
FALSE POSITIVE,24.2598301,1540.3,3.897,0.289221,26.3
FALSE POSITIVE,116.5214317,771.5,5.577,0.288236,25.0
CONFIRMED,0.813166357,173.5,1.4122,0.011791,34.8
CONFIRMED,10.86062378,189.6,2.2874,0.012793,20.7
CONFIRMED,24.08632177,1041.7,2.236,0.033194,18.0
FALSE POSITIVE,17.40208965,616.5,3.745,0.243775,20.9
CONFIRMED,37.9456138,1032.9,4.093,0.029502,24.0
FALSE POSITIVE,1.141877248,309490.0,4.33931,0.593216,2036.3
FALSE POSITIVE,5.77675928,3522.5,6.789,0.34292,141.4
CONFIRMED,24.1738244,532.6,3.056,0.020897,21.5
CONFIRMED,5.186737262,712.7,0.8023,0.028314,25.7
CONFIRMED,1.217000383,459.8,1.3285,0.019082,26.5
CONFIRMED,13.6823798,179.6,4.153,0.012774,17.0
CONFIRMED,8.79618433,286.3,3.3781,0.015488,27.0
CONFIRMED,16.85592593,871.5,2.309,0.026549,19.5
CONFIRMED,14.36270451,349.4,4.564,0.017363,26.8
CONFIRMED,69.8956789,548.4,5.276,0.025186,21.9
CONFIRMED,6.24667547,396.8,11.261,0.021978,63.6
CONFIRMED,2.344512589,58.9,1.4116,0.00784,21.9
CONFIRMED,5.766165573,364.8,3.8314,0.017485,65.6
CONFIRMED,18.3027235,186.7,8.262,0.013531,24.7
CONFIRMED,2.888904439,402.2,1.6043,0.020322,23.7
CONFIRMED,17.14648756,440.3,4.2354,0.02359,28.3
CONFIRMED,16.09227518,128.5,2.1072,0.013459,18.1
CONFIRMED,62.7843981,325.0,4.81,0.016583,21.1
CONFIRMED,91.500873,704.8,4.842,0.023662,22.6
CONFIRMED,44.2993483,797.9,4.298,0.026848,23.2
CONFIRMED,3.13877646,174.1,1.6663,0.012262,20.2
CONFIRMED,35.9682692,269.7,2.839,0.017647,21.0
CONFIRMED,25.3690868,110.1,4.746,0.0109,21.6
CONFIRMED,6.89213244,82.0,1.725,0.008563,17.3
CONFIRMED,42.3006282,507.9,4.372,0.020615,23.8
FALSE POSITIVE,0.838597429,2482.1,1.68668,0.330932,303.7
CONFIRMED,55.1866213,375.5,9.133,0.017841,36.2
FALSE POSITIVE,1.728528176,197.6,3.682,0.014151,26.2
CONFIRMED,14.97436238,265.4,2.4461,0.014655,24.9
CONFIRMED,3.97076603,349.2,1.814,0.018881,23.9
CONFIRMED,2.352273912,318.6,1.7389,0.015785,20.4
FALSE POSITIVE,22.0425953,348.0,61.2018,0.209167,90.4
CONFIRMED,23.34036251,615.1,2.054,0.022658,18.2
CONFIRMED,15.03366411,374.9,3.272,0.017431,22.2
CONFIRMED,106.247882,397.4,13.78,0.01889,24.0
CONFIRMED,8.508333104,646.5,3.4559,0.023076,93.4
CONFIRMED,12.94123564,328.8,4.636,0.016629,22.1
CONFIRMED,5.349791,88.8,4.279,0.00997,23.3
CONFIRMED,5.26211833,194.5,3.244,0.013665,20.3
CONFIRMED,12.1628195,306.3,2.3161,0.02198,15.2
CONFIRMED,23.5541012,95.2,7.3,0.009353,29.9
CONFIRMED,41.6977582,684.8,5.513,0.02375,27.7
CONFIRMED,4.79029482,142.0,2.7219,0.011014,23.1
CONFIRMED,38.6715843,599.3,5.532,0.024605,25.2
CONFIRMED,8.32651854,267.9,5.483,0.016452,27.2
CONFIRMED,5.53533152,260.6,2.793,0.014566,27.5
CONFIRMED,16.7261969,194.9,2.708,0.01301,11.6
CONFIRMED,21.58752788,336.8,4.4968,0.016798,34.0
CONFIRMED,3.757294695,273.3,0.9269,0.015786,23.4
CONFIRMED,3.2828024,142.5,3.2532,0.010816,24.4
CONFIRMED,4.64495172,147.4,3.366,0.011202,19.8
CONFIRMED,16.48686712,987.9,1.431,0.23474,22.1
CONFIRMED,2.685054445,252.7,1.0473,0.016076,28.9
CONFIRMED,16.8600805,273.4,5.557,0.016086,22.4
CONFIRMED,1.54320541,91.2,2.5779,0.008754,35.2
CONFIRMED,49.5004725,965.2,5.772,0.027578,27.8
CONFIRMED,6.47539108,530.6,2.7048,0.02122,28.1
CONFIRMED,16.85825609,759.6,2.0728,0.027757,21.8
FALSE POSITIVE,3.132604547,9969.2,3.6337,0.377855,222.3
CONFIRMED,2.949029106,358.3,2.0311,0.016815,29.3
CONFIRMED,37.8658964,395.2,4.782,0.018061,25.9
CONFIRMED,8.30865307,836.1,3.2747,0.026057,74.3
CONFIRMED,11.93205399,178.5,6.205,0.01206,32.3
CONFIRMED,7.54235832,132.5,4.73,0.0105,25.8
CONFIRMED,5.02818253,181.3,3.526,0.012294,26.1
CONFIRMED,1.897828815,132.4,2.7114,0.010464,27.2
CONFIRMED,10.62788695,326.7,4.576,0.016923,22.6
CONFIRMED,1.104462494,469.1,1.0458,0.019518,35.3
CONFIRMED,4.89336495,138.3,3.485,0.010904,15.9
CONFIRMED,11.17392077,324.8,3.307,0.016441,21.4
CONFIRMED,31.0325991,737.4,3.476,0.02592,17.6
FALSE POSITIVE,0.512407185,329.2,1.0579,0.016697,46.1
FALSE POSITIVE,4.150297119,593.4,1.2058,0.032359,24.2
CONFIRMED,5.89661966,144.0,3.154,0.01076,15.3
CONFIRMED,33.4178173,1166.8,4.645,0.038586,28.4
CONFIRMED,2.053341891,65.5,2.596,0.009704,23.2
CONFIRMED,56.7769831,884.3,6.864,0.029059,33.6
CONFIRMED,18.78429232,1009.5,3.1136,0.030522,23.8
CONFIRMED,3.61460279,64.8,3.227,0.007519,14.9
CONFIRMED,13.15140223,97.8,5.439,0.010455,25.5
CONFIRMED,18.5084526,758.9,6.596,0.286358,30.1
FALSE POSITIVE,7.47763833,110.0,2.5693,0.009635,26.2
CONFIRMED,42.1918331,488.7,7.083,0.019889,25.7
CONFIRMED,3.73090026,191.2,2.9095,0.014249,24.0
CONFIRMED,2.787874175,197.4,2.0348,0.012361,22.2
CONFIRMED,37.9962369,403.7,6.7751,0.018389,37.8
CONFIRMED,17.23232894,509.8,4.5568,0.020998,64.1
CONFIRMED,28.5057217,755.8,6.324,0.026795,20.8
CONFIRMED,53.5991459,523.1,6.811,0.022119,23.1
CONFIRMED,16.4581861,435.8,1.9637,0.018826,22.4
CONFIRMED,0.693842661,49.3,1.6197,0.00636,28.9
CONFIRMED,83.4887405,955.4,6.21,0.028709,24.7
CONFIRMED,34.0607677,818.9,2.471,0.028882,20.5
CONFIRMED,31.5888979,360.6,3.438,0.01735,27.3
CONFIRMED,59.9809868,282.4,7.588,0.018577,25.2
CONFIRMED,25.7457957,140.3,7.073,0.011447,19.3
CONFIRMED,11.92979348,709.3,6.152,0.0242,27.8
CONFIRMED,4.3394569,337.4,2.3652,0.019041,31.6
CONFIRMED,2.852348262,1402.9,0.7051,0.035061,33.3
CONFIRMED,65.6480892,588.7,5.746,0.028896,22.0
FALSE POSITIVE,102.653705,687.3,53.5887,0.211178,82.1
CONFIRMED,14.83340944,783.0,3.927,0.025764,19.1
FALSE POSITIVE,0.987338654,26.5,2.591,0.004734,25.0
CONFIRMED,101.1323475,1502.9,4.366,0.034853,25.7
FALSE POSITIVE,1.811460943,428.5,5.065,0.025677,83.9
CONFIRMED,16.07673148,488.0,2.205,0.020172,19.3
CONFIRMED,18.87058705,588.0,3.4701,0.025771,28.5
CONFIRMED,22.1334224,654.6,2.049,0.022996,16.3
CONFIRMED,17.1369408,362.1,6.416,0.017456,25.4
CONFIRMED,26.6951944,132.6,4.576,0.010567,13.4
CONFIRMED,7.72085047,267.0,1.8264,0.019674,25.0
CONFIRMED,6.312508525,1286.0,2.7455,0.032005,112.5
CONFIRMED,4.19577385,874.2,2.1557,0.027507,23.3
CONFIRMED,7.1329472,145.0,4.368,0.011502,27.2
CONFIRMED,8.91901228,180.6,4.141,0.012857,29.6
CONFIRMED,4.5620407,81.6,2.8521,0.010314,22.8
FALSE POSITIVE,2.392630668,101.5,1.3705,0.011196,20.5
CONFIRMED,17.6700291,348.4,6.693,0.021247,25.0
CONFIRMED,108.593113,338.2,7.989,0.016727,24.3
CONFIRMED,19.9865916,648.0,4.391,0.031224,21.8
CONFIRMED,12.12580644,327.5,3.289,0.018511,14.0
CONFIRMED,76.421501,578.4,7.218,0.021656,23.9
CONFIRMED,56.2590881,348.8,8.114,0.017091,29.7
CONFIRMED,1.646801683,284.2,1.1966,0.01543,25.2
CONFIRMED,3.78861833,143.4,2.808,0.010833,18.2
CONFIRMED,10.45839865,306.8,3.154,0.015375,18.6
CONFIRMED,21.1033014,192.5,2.059,0.012695,21.3
CONFIRMED,95.6114617,487.4,7.489,0.020097,21.6
CONFIRMED,11.8984948,130.9,3.015,0.011851,15.9
CONFIRMED,23.1274171,157.3,4.901,0.012395,20.9
CONFIRMED,5.132486123,908.4,1.4575,0.026773,35.4
CONFIRMED,8.77997349,755.7,3.2201,0.025421,32.7
CONFIRMED,57.6896212,1626.6,5.118,0.044886,30.2
CONFIRMED,10.66489514,292.6,3.159,0.015773,25.3
CONFIRMED,5.1233204,286.2,2.7466,0.015347,25.1
CONFIRMED,3.573202801,2975.0,2.88,0.049237,362.1
CONFIRMED,61.6174528,1350.7,3.816,0.033006,19.5
CONFIRMED,24.3398202,777.3,3.891,0.031817,27.8
CONFIRMED,7.16520428,433.8,1.705,0.019138,17.6
CONFIRMED,1.755843555,386.0,1.9425,0.021444,25.1
CONFIRMED,5.18560081,252.6,4.054,0.014547,27.6
CONFIRMED,33.4698571,370.7,4.749,0.020478,23.2
CONFIRMED,11.89520436,184.3,3.433,0.012286,22.3
CONFIRMED,1.025857984,270.7,0.8069,0.016977,36.0
CONFIRMED,5.60013327,329.2,2.6508,0.01622,22.8
CONFIRMED,25.2034128,697.1,4.515,0.024063,22.3
CONFIRMED,1.615357809,499.6,1.1435,0.025766,31.2
CONFIRMED,5.640676975,1453.3,2.8354,0.034594,145.9
CONFIRMED,25.5638626,1124.9,4.685,0.034909,31.6
CONFIRMED,12.7945474,816.7,3.4197,0.025596,54.1
CONFIRMED,42.4269647,632.4,5.907,0.031124,26.0
CONFIRMED,1.434745129,200.7,1.862,0.012886,28.4
CONFIRMED,3.28192056,191.0,2.917,0.012619,24.5
CONFIRMED,12.51610549,263.0,4.853,0.014724,22.6
CONFIRMED,5.45298742,86.0,2.1328,0.010028,21.0
CONFIRMED,3.26662733,59.9,2.056,0.007398,18.6
CONFIRMED,4.45743267,175.7,2.3226,0.011751,20.8
CONFIRMED,2.81814715,278.6,1.763,0.015134,16.5
FALSE POSITIVE,1.824649,3218.5,4.2285,0.061323,184.3
CONFIRMED,2.832647249,114.7,2.306,0.009889,27.5
CONFIRMED,3.70063251,68.6,5.408,0.008108,29.8
CONFIRMED,3.93083997,101.4,2.932,0.009264,22.0
CONFIRMED,7.63008196,124.0,2.78,0.010695,18.6
CONFIRMED,16.22378479,262.3,2.5462,0.014927,20.6
CONFIRMED,9.76293284,553.2,3.064,0.021757,23.6
CONFIRMED,58.601926,396.4,5.522,0.018557,19.1
CONFIRMED,25.0823402,244.6,6.423,0.01637,30.5
CONFIRMED,78.0998908,656.9,8.422,0.024047,23.8
CONFIRMED,4.27103727,180.4,2.2759,0.012297,24.6
CONFIRMED,4.27226421,48.9,2.113,0.006951,13.7
CONFIRMED,3.53232429,224.2,2.765,0.013699,12.8
FALSE POSITIVE,15.03946326,5237.7,5.1008,0.07857,181.6
FALSE POSITIVE,4.702495974,4787.3,2.3421,0.388365,101.1
CONFIRMED,10.44087398,821.5,3.743,0.031855,22.2
CONFIRMED,12.5722897,86.5,4.765,0.008561,12.4
CONFIRMED,40.8366307,264.8,4.956,0.014897,18.7
FALSE POSITIVE,11.7761073,281.3,2.829,0.017456,15.1
FALSE POSITIVE,29.7123181,385.4,70.3707,0.221351,130.0
CONFIRMED,20.6180348,769.5,3.267,0.024893,16.3
CONFIRMED,19.9401211,758.9,4.283,0.029059,18.0
CONFIRMED,22.2420032,63.5,7.532,0.008612,16.2
CONFIRMED,3.88148385,36.3,2.679,0.005515,11.9
CONFIRMED,0.577369336,400.4,1.0852,0.01816,68.3
FALSE POSITIVE,186.65435483,23791.335898271922,10.51,0.28364628616454735,259.8950005434192
CONFIRMED,12.720370263,1180.1,2.7306,0.03461,485.5
FALSE POSITIVE,86.59322294,23791.335898271922,7.98,0.28364628616454735,259.8950005434192
CONFIRMED,11.96407399,784.2,4.526,0.030548,22.9
FALSE POSITIVE,2.493237866,259.2,2.644,0.021013,20.7
CONFIRMED,12.90467523,412.4,3.28,0.018884,21.2
CONFIRMED,68.8861017,143.9,5.925,0.010983,19.5
CONFIRMED,9.99115241,391.7,2.657,0.019277,16.7
CONFIRMED,36.292017,374.7,8.198,0.01758,21.4
FALSE POSITIVE,0.925589891,400.8,1.967,0.018924,20.6
CONFIRMED,17.25121397,2054.8,2.0371,0.044983,68.6
FALSE POSITIVE,1.867281146,701.1,7.495,0.278578,58.5
CONFIRMED,9.30991834,114.5,3.455,0.010094,19.2
CONFIRMED,3.23941775,77.4,2.569,0.008203,17.2
CONFIRMED,2.524017517,303.0,1.1968,0.01576,19.8
CONFIRMED,31.2012202,360.1,4.077,0.018653,13.7
CONFIRMED,22.5968256,142.9,6.179,0.010811,22.2
CONFIRMED,45.3486381,162.9,4.858,0.013356,15.9
CONFIRMED,5.25419589,461.8,2.9878,0.019706,26.1
CONFIRMED,5.90608902,340.7,2.409,0.016855,9.3
CONFIRMED,13.81504449,1032.6,2.3244,0.034399,46.7
CONFIRMED,12.4128518,108.1,4.298,0.010188,19.4
CONFIRMED,3.92453009,463.5,3.691,0.019616,25.3
CONFIRMED,11.60653061,771.7,2.194,0.024534,17.8
CONFIRMED,2.66831274,266.2,2.4141,0.015027,23.3
FALSE POSITIVE,2.9322509,181.2,2.931,0.0126,13.1
CONFIRMED,23.4772553,141.4,6.735,0.010955,17.6
CONFIRMED,66.5576728,214.2,10.532,0.013335,21.3
FALSE POSITIVE,2.01948607,275.4,5.248,0.020811,27.9
FALSE POSITIVE,3.04468229,71.4,5.951,0.008074,22.2
FALSE POSITIVE,15.05028313,615.2,1.848,0.022798,13.4
CONFIRMED,2.455240626,36912.0,1.72722,0.170837,1341.6
CONFIRMED,9.08233411,296.9,2.008,0.015633,15.8
FALSE POSITIVE,0.790539912,277.3,1.0567,0.014827,31.5
FALSE POSITIVE,1.705782214,278.0,1.007,0.016508,11.5
FALSE POSITIVE,0.532086296,495.8,4.023,0.222839,85.2
CONFIRMED,47.7052566,1161.5,5.959,0.039415,22.8
CONFIRMED,6.238535444,401.6,3.5255,0.018412,274.5
CONFIRMED,86.829519,751.0,7.464,0.0332,15.1
CONFIRMED,9.95667035,586.8,3.534,0.028013,16.8
CONFIRMED,10.41728722,210.4,4.125,0.013087,20.3
CONFIRMED,0.984941669,81.4,1.9724,0.008209,22.9
CONFIRMED,0.663085361,322.7,1.1522,0.019059,35.3
CONFIRMED,19.1187425,217.5,6.805,0.014589,20.5
FALSE POSITIVE,1.08749101,126.4,1.6192,0.014029,33.5
FALSE POSITIVE,1.183818383,84.3,1.393,0.008438,12.7
FALSE POSITIVE,4.98845099,193.9,7.453,0.01264,23.3
CONFIRMED,3.543919702,507.0,1.8717,0.020559,38.2
CONFIRMED,8.83929462,316.2,1.719,0.020396,14.8
FALSE POSITIVE,0.631795416,145.2,1.0703,0.011358,24.7
CONFIRMED,7.56126152,180.6,2.851,0.012323,15.7
CONFIRMED,34.9897847,498.5,4.208,0.020074,11.5
CONFIRMED,7.05429483,359.3,1.716,0.017602,11.2
CONFIRMED,26.7838935,365.3,4.584,0.017057,20.9
CONFIRMED,45.126216,373.1,6.656,0.018205,17.1
CONFIRMED,11.94019101,631.7,2.866,0.022753,15.6
FALSE POSITIVE,3.51295674,83.1,3.06,0.008609,22.5
CONFIRMED,48.4313003,886.4,4.03,0.03163,17.3
CONFIRMED,7.203855862,1765.9,2.5418,0.038237,101.1
CONFIRMED,6.73808701,92.9,2.591,0.008644,14.4
FALSE POSITIVE,7.57571414,418.5,2.357,0.019126,12.8
FALSE POSITIVE,4.76887671,115.8,1.672,0.01042,20.0
FALSE POSITIVE,1.347512632,2651.8,1.9817,0.313479,88.7
FALSE POSITIVE,0.512581697,259.1,1.5789,0.01472,45.2
FALSE POSITIVE,12.07760884,151.0,2.233,0.011165,14.0
FALSE POSITIVE,6.38315744,1112.6,1.7075,0.030114,23.8
CONFIRMED,27.52194772,2312.8,4.047,0.044275,106.5
CONFIRMED,16.1289679,389.0,6.271,0.024747,21.3
CONFIRMED,13.5631157,336.4,5.438,0.017929,15.4
CONFIRMED,16.2959916,369.6,2.116,0.0174,15.7
CONFIRMED,4.16056658,75.8,2.61,0.007855,16.3
FALSE POSITIVE,2.93101771,199.1,2.231,0.013311,15.0
CONFIRMED,39.79220077,610.4,4.466,0.022303,179.5
FALSE POSITIVE,16.2276756,525.8,3.699,0.021927,20.5
FALSE POSITIVE,1.595630597,259.6,1.793,0.22532,18.3
CONFIRMED,14.8200596,184.9,3.902,0.011998,21.9
CONFIRMED,20.49041,661.8,4.369,0.023227,23.3
FALSE POSITIVE,0.962827066,86.3,4.48,0.088515,28.7
CONFIRMED,8.679037,301.6,2.864,0.015997,19.9
CONFIRMED,11.1296971,371.0,2.942,0.018314,14.7
CONFIRMED,2.7296036,145.6,2.721,0.011314,18.4
CONFIRMED,3.11604194,345.2,1.7763,0.016885,18.8
CONFIRMED,46.82767725,1537.7,1.9033,0.036335,32.4
CONFIRMED,12.7372371,100.8,3.358,0.009176,12.9
CONFIRMED,40.0306267,214.5,4.815,0.013429,19.5
CONFIRMED,0.679336747,240.7,1.2188,0.014073,36.7
FALSE POSITIVE,213.6103207,110990.0,10.7643,0.499257,534.5
FALSE POSITIVE,170.8658492,29841.0,16.9895,0.168735,897.0
FALSE POSITIVE,17.5509742,3859.0,4.064,0.054672,9.7
CONFIRMED,88.5122014,2518.7,6.8214,0.045589,63.1
FALSE POSITIVE,10.21507506,258.6,3.395,0.014437,17.4
FALSE POSITIVE,8.3806973,650.8,3.028,0.023783,4.6
CONFIRMED,31.0572947,636.6,3.401,0.023111,15.8
CONFIRMED,15.1622287,479.8,7.332,0.025685,28.5
CONFIRMED,10.04378351,437.9,5.548,0.024216,28.8
CONFIRMED,4.5513988,188.7,2.457,0.012288,19.4
CONFIRMED,10.91274065,1387.2,2.1801,0.036155,57.4
FALSE POSITIVE,12.2141545,535.8,10.262,0.201507,24.7
FALSE POSITIVE,3.732261,153.6,2.054,0.011502,15.7
CONFIRMED,3.03267135,42.4,1.774,0.005931,15.6
CONFIRMED,5.34182466,70.5,3.577,0.007643,19.2
CONFIRMED,2.131945045,269.4,1.8061,0.014975,22.9
CONFIRMED,12.9462567,168.7,9.568,0.011943,15.7
CONFIRMED,5.77957133,396.6,2.5213,0.023676,18.9
CONFIRMED,11.6601667,181.0,5.882,0.017606,20.4
FALSE POSITIVE,89.465468,67.9,9.88,0.009567,5.7
CONFIRMED,18.0161227,499.5,4.016,0.020538,16.7
FALSE POSITIVE,40.8777605,719.1,9.745,0.288798,23.6
FALSE POSITIVE,6.80243431,249.1,3.817,0.029185,14.9
CONFIRMED,84.5733346,891.6,5.762,0.026709,20.4
CONFIRMED,21.30181863,87.3,3.8763,0.008442,32.4
CONFIRMED,4.14789051,137.6,3.829,0.012475,16.4
CONFIRMED,19.0054098,542.4,1.843,0.251685,20.2
FALSE POSITIVE,1.96433113,139.1,2.381,0.010865,14.2
CONFIRMED,0.968527683,114.6,1.3672,0.012523,16.9
CONFIRMED,0.664074145,212.6,1.0925,0.013695,20.9
FALSE POSITIVE,11.7489907,36.7,4.043,0.005592,12.5
CONFIRMED,3.849371737,1298.6,2.632,0.039601,132.7
FALSE POSITIVE,0.366197145,275.3,1.2335,0.014924,16.7
CONFIRMED,4.164384505,2338.0,1.8464,0.045876,132.1
CONFIRMED,2.10433534,242.1,1.1168,0.016787,20.7
CONFIRMED,28.8431751,756.7,3.171,0.031071,15.0
FALSE POSITIVE,1.378649746,22462.0,1.2232,0.135797,172.2
